# ResFinder phenotype results.
# Sample: Novara022024_S2_L001_R2_001.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
quinupristin	streptogramin b	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808), msr(E) (msr(E)_FR751518)
pristinamycin ia	streptogramin b	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808), msr(E) (msr(E)_FR751518)
virginiamycin s	streptogramin b	Resistant	3	erm(B) (erm(B)_X66468), erm(F) (erm(F)_M17808), msr(E) (msr(E)_FR751518)
linezolid	oxazolidinone	No resistance	0	
chloramphenicol	amphenicol	No resistance	0	
florfenicol	amphenicol	No resistance	0	
colistin	polymyxin	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
rifampicin	rifamycin	No resistance	0	
metronidazole	nitroimidazole	No resistance	0	
narasin	ionophores	No resistance	0	
salinomycin	ionophores	No resistance	0	
maduramicin	ionophores	No resistance	0	
